State,Participating agencies,Population covered,Agencies submitting incident reports,Incidents reported
Total,13690,269382053,2145,7783
Alabama,163,2802524,5,11
Alaska,2,286625,2,8
Arizona,89,6438728,26,185
Arkansas,260,2767575,36,91
California,730,36756666,269,1381
Colorado,210,4803326,48,149
Connecticut,101,3501252,57,164
Delaware,54,873092,17,58
District of Columbia,2,591833,2,42
Florida,487,18235592,72,153
Georgia,6,554193,2,9
Idaho,106,1519264,12,30
Illinois,308,8048213,44,120
Indiana,131,3062775,17,61
Iowa,228,2974039,15,33
Kansas,351,2311956,48,113
Kentucky,315,3821826,23,64
Louisiana,87,2445629,10,67
Maine,134,1316456,28,63
Maryland,158,5633597,23,100
Massachusetts,351,6397091,91,333
Michigan,590,9754100,171,560
Minnesota,248,4304347,48,164
Mississippi,60,752395,1,4
Missouri,630,5904517,32,99
Montana,99,957438,12,24
Nebraska,193,808954,8,11
Nevada,34,2600167,6,94
New Hampshire,144,1137387,26,44
New Jersey,512,8676494,202,744
New Mexico,49,1186698,4,9
New York,339,17526925,76,570
North Carolina,495,9128679,46,124
North Dakota,80,601003,11,16
Ohio,545,9071197,106,345
Oklahoma,303,3642361,20,51
Oregon,166,3775490,37,187
Pennsylvania,1241,12275966,31,68
Rhode Island,48,1050788,14,35
South Carolina,480,4478308,65,153
South Dakota,108,687383,8,42
Tennessee,461,6214418,81,255
Texas,1000,24305393,69,246
Utah,117,2693947,18,40
Vermont,82,606685,12,20
Virginia,407,7767843,75,263
Washington,251,6538142,61,239
West Virginia,294,1636800,23,43
Wisconsin,379,5627967,29,92
Wyoming,62,528009,6,6
