State,Participating agencies,Population covered,Agencies submitting incident reports,Incidents reported
Total,14575,286010550,1944,6222
Alabama,98,2285487,50,83
Alaska,2,304924,1,8
Arizona,84,6225041,26,192
Arkansas,259,2804225,10,11
California,734,37691912,257,1040
Colorado,218,4992496,57,186
Connecticut,102,3580709,42,140
Delaware,56,907135,8,15
District of Columbia,2,617996,2,83
Florida,504,18945433,58,123
Georgia,521,8600353,8,17
Idaho,107,1583018,12,33
Illinois,563,9959109,39,69
Indiana,137,3701222,17,100
Iowa,212,2904419,12,15
Kansas,357,2426569,34,67
Kentucky,374,3581320,86,155
Louisiana,82,2448022,5,5
Maine,149,1328188,20,55
Maryland,156,5828289,19,49
Massachusetts,308,6361208,80,367
Michigan,564,9569653,137,346
Minnesota,180,3992533,44,148
Mississippi,54,748806,1,1
Missouri,633,6001755,34,117
Montana,99,988577,9,23
Nebraska,185,1478313,7,36
Nevada,13,2183002,5,59
New Hampshire,151,1176668,14,22
New Jersey,510,8819533,162,508
New Mexico,40,973183,3,28
New York,561,19297804,87,544
North Carolina,516,9655664,49,112
North Dakota,94,666780,8,27
Ohio,588,9879527,83,228
Oklahoma,319,3790684,17,29
Oregon,75,2437231,29,128
Pennsylvania,1372,12565359,20,53
Rhode Island,48,1051302,5,20
South Carolina,341,4668211,65,135
South Dakota,110,731246,7,21
Tennessee,463,6403353,62,144
Texas,1027,25629269,57,152
Utah,125,2775105,29,68
Vermont,84,619283,6,7
Virginia,408,8087318,54,144
Virgin Islands1,1,,0,0
Washington,246,6822528,69,213
West Virginia,281,1689892,14,18
Wisconsin,399,5669896,22,76
Wyoming,63,561000,2,2
