State,Participating agencies,Population covered,Agencies submitting incident reports,Incidents reported
Total,14977,285001266,1949,6628
Alabama,331,3762738,12,19
Alaska,1,290334,1,7
Arizona,89,6328446,22,236
Arkansas,254,2752987,30,63
California,733,37200288,249,1092
Colorado,217,4908638,44,154
Connecticut,102,3574097,43,147
Delaware,56,897934,10,20
District of Columbia,2,601723,1,57
Florida,505,18705419,65,136
Georgia,501,7653795,7,17
Idaho,104,1554255,11,28
Illinois,550,10497883,44,94
Indiana,138,3720793,17,94
Iowa,221,2968611,14,17
Kansas,350,2230776,23,58
Kentucky,360,3202734,91,173
Louisiana,90,2617664,9,13
Maine,148,1328361,26,61
Maryland,157,5773552,16,80
Massachusetts,313,6296379,84,316
Michigan,588,9703717,137,304
Minnesota,92,2698621,32,127
Mississippi,63,794800,1,11
Missouri,633,5987789,29,142
Montana,99,981587,14,31
Nebraska,187,1534659,4,61
Nevada,34,2700551,6,68
New Hampshire,151,1155769,22,31
New Jersey,509,8790283,172,543
New Mexico,46,1130803,3,24
New York,574,19307186,97,699
North Carolina,519,9534813,46,94
North Dakota,97,659331,7,8
Ohio,591,9667899,83,247
Oklahoma,316,3713732,24,49
Oregon,216,3286084,30,134
Pennsylvania,1347,12659293,31,57
Rhode Island,48,1052567,11,20
South Carolina,429,4614153,47,109
South Dakota,112,723676,11,51
Tennessee,466,6346105,58,147
Texas,1032,25083730,66,174
Utah,124,2718676,32,63
Vermont,83,614990,9,17
Virginia,413,8001024,53,175
Washington,250,6717480,56,232
West Virginia,277,1713013,17,33
Wisconsin,395,5682402,30,93
Wyoming,64,559126,2,2
